לְהִשְׁתַּקֵּף	lehiʃtaˈkef
מִרְווָח	mirˈvax
להיפקד	lehipaˈked
לְהִימַדֵד	lehimaˈded
לִזְעוֹף	lizˈʔof
פיסול	piˈsul
לְהִישָּׁבֵעַ	lehiʃaˈvea
פּוּנְדָּק	punˈdak
חוּמְצָה	xumtˈsa
דֵבֵר	ˈdever
לְטַלְגְּרֵף	letalgˈref
להצטוות	lehitstaˈvot
סְדַר	sˈdar
שמשה	ʃimˈʃa
לְהַצֵל	lehatˈsel
סינוור	sinˈvur
לחרות	laxaˈrot
בְּלִימָה	bliˈma
חַגוֹרַה	xagoˈra
לְפַקְפֵּק	lefakˈpek
להקריא	lehakˈri
הַשְׁקָעָה	haʃkaˈʔa
מוּגָז	muˈgaz
הַצָּתָה	hatsaˈta
להתעייף	lehitʔaˈjef
לְהִתְגָּרֵשׁ	lehitgaˈreʃ
לחרוש	laxaˈroʃ
להיחתך	lehexaˈtex
פִּתְרוֹן	pitˈron
נתונים	netuˈnim
לִשְׂרוֹךְ	lisˈrox
הֵחְלֵט	hexˈlet
שנית	ʃeˈnit
משילות	meʃiˈlut
בליטה	bliˈta
לְהִתְמַצֵּא	lehitmatˈse
לאמת	leʔaˈmet
הִישָּׁאֲרוּת	hiʃaʔaˈrut
פַּר	ˈpar
שִׂמְחַה	simˈxa
הביטחון	habitaˈxon
מפני	mipˈnei
להידמות	lehidaˈmot
צַלָּף	tsaˈlaf
חוּצְפַּה	xutsˈpa
לְהִיבַּגֵד	lehibaˈged
לְהַרְעִיב	leharˈʔiv
קָרוֹן	kaˈron
עִיגּוּן	iˈgun
לְהִיתַּמֵּם	lehitaˈmem
לִיקוֹץ	liˈkots
לממן	lemaˈmen
גמבה	ˈgamba
להצליח	lehatsˈliax
טִיפְּשִׁי	tipˈʃi
מִסְעַדַה	misʔaˈda
בַּשַׁבוּעַ	baʃaˈvua
לְהִישַׂכֵר	lehisaˈxer
קְשִׁירַה	kʃiˈra
נַעוּץ	naˈʔuts
בַּקָּרָה	bakaˈra
מהירות	mehiˈrut
סָתוּם	saˈtum
לְתַלְתֵּל	letalˈtel
להתמתח	lehitmaˈteax
מַפָּץ	maˈpats
כנגד	keˈneged
גְלוּפַה	gluˈfa
גבול	gˈvul
כְּתוּבָּה	ktuˈba
לְהִיכָּנֵעַ	lehikaˈnea
צְרִיכַה	tsriˈxa
קֵבֵר	ˈkever
לְהַקְשִׁיב	lehakˈʃiv
להיחלץ	lehexaˈlets
טעם	ˈtaʔam
חַשְׁמַלַאי	xaʃmaˈlaj
יונק	joˈnek
אִידֵיאַל	ideˈʔal
להתקצר	lehitkatˈser
תְּרוּפָה	truˈfa
מחוספס	mexusˈpas
קריירה	karˈjera
לְהִישַׁלֵף	lehiʃaˈlef
נשיא	naˈsi
לְהִיסָּתֵר	lehisaˈter
גַּלְגִּילּוֹן	galgiˈlon
הִתְייַעַצוּת	hitjaʔatˈsut
הִישַׁעַנוּת	hiʃaʔaˈnut
לְהִצְטַנֵעַ	lehitstaˈnea
עמדה	emˈda
טַלִית	taˈlit
להתאחות	lehitʔaˈxot
כנראה	kanirˈʔe
זַעֲקָה	zaʔaˈka
לְהַטוֹת	lehaˈtot
מִגְרַשׁ	migˈraʃ
לְעוֹלֵל	leʔoˈlel
כְּנֵסֵת	kˈneset
אוריינ	orˈjan
לְהִיפַּלֵט	lehipaˈlet
לקטוע	likˈtoa
דְיוֹ	dˈjo
מְדוּרַה	meduˈra
אִיסוּר	iˈsur
לִטְחוֹן	litˈxon
כעת	kaˈʔet
לעלף	leʔaˈlef
לְפַשֵּׂק	lefaˈsek
סוּג	ˈsug
יחף	jaˈxef
חציל	xatˈsil
שַׁמָּאוּת	ʃamaˈʔut
חֲקִירָה	xakiˈra
דַרוּשׁ	daˈruʃ
מערבה	maʔaˈrava
מִקְטוֹרֶן	mikˈtoren
תפירה	tfiˈra
לְנַשֵׁךְ	lenaˈʃex
מְכוֹעָר	mexoˈʔar
מִתְקַפַה	mitkaˈfa
זבח	ˈzevax
נוסף	noˈsaf
בטוי	biˈtuj
לְרַשְׁרֵשׁ	leraʃˈreʃ
תִקְרַה	tikˈra
לְהִידַרְדֵר	lehidarˈder
יוֹנָה	joˈna
נָמֵל	naˈmel
לְהֵיאַכֵף	leheʔaˈxef
אביבי	aviˈvi
דְרוֹר	dˈror
וֶסֶת	ˈveset
ארעי	araˈʔi
ערבה	araˈva
לְהַתִּישׁ	lehaˈtiʃ
לְהִיווַּרֵשׁ	lehivaˈreʃ
הזדווגות	hizdavˈgut
לסכוך	lisˈkox
תִרְכּוֹבֵת	tirˈkovet
סַבוּךְ	saˈvux
פרצוף	partˈsuf
לעגל	leʔaˈgel
לחטא	lexaˈte
לְצַיֵן	letsaˈjen
גילוח	giˈluax
לְטַמֵא	letaˈme
לְהַמְצִיא	lehamtˈsi
עִירִייַה	iriˈja
לַחֲנוֹךְ	laxaˈnox
גִיבּוּשׁ	giˈbuʃ
נֶכֶס	ˈnexes
תְּכִיפוּת	txiˈfut
שער	ˈʃaʔar
אוּכְמָנִית	uxmaˈnit
לְהַבְהֵב	lehavˈhev
העתק	heʔeˈtek
נַטוּל	naˈtul
לתשוש	litˈʃoʃ
משוגע	meʃuˈga
לִווְייַתַן	livjaˈtan
פָּז	ˈpaz
נוֹעַר	ˈnoʔar
עלוב	aˈluv
להוות	lehaˈvot
דומדמנית	dumdemaˈnit
אַפוֹר	aˈfor
קערה	keʔaˈra
לַהֲרוֹג	lahaˈrog
אַרְגַז	arˈgaz
לְהִסְתַּנְכְּרֵן	lehistankˈren
תְּאֵנָה	teʔeˈna
הַחוּצַה	haˈxutsa
לְהִתְנַצֵּר	lehitnatˈser
אֲווִירוֹן	aviˈron
להחריד	lehaxˈrid
מַעְלָה	ˈmala
לְהַחַשׁוֹת	lehaxaˈʃot
לְהִתְנַחֵל	lehitnaˈxel
לְשַׁעֵר	leʃaˈʔer
פֶּלֶא	ˈpele
לִתְסוֹס	litˈsos
חשוד	xaˈʃud
פָּעוֹט	paˈʔot
לְהַרְגִּישׁ	leharˈgiʃ
ריצה	ritˈsa
נַקְנִיקִייָּה	naknikiˈja
קְלַלַה	klaˈla
אִיטוּם	iˈtum
לִסְלוֹחַ	lisˈloax
לֵבוֹשׁ	leˈvoʃ
עֲקִיצָה	akitˈsa
צוק	tˈsuk
לטגן	letaˈgen
נכדה	nexˈda
טְיוּטָה	tjuˈta
לִקְדוֹחַ	likˈdoax
סוֹהֵר	soˈher
לְהַרְתִיחַ	leharˈtiax
זולת	zuˈlat
מטורף	metoˈraf
מַדְרֵגַה	madreˈga
שארית	ʃeʔeˈrit
לִקְדוֹם	likˈdom
עַסִיס	aˈsis
לְהִיסַפֵג	lehisaˈfeg
לכמת	lekaˈmet
נוֹטָרִיקוֹן	notariˈkon
לְחַרְטֵט	lexarˈtet
כשל	ˈkeʃel
לְהִיבַּדֵל	lehibaˈdel
זריקה	zriˈka
לְהַשְׁבִּיעַ	lehaʃˈbia
לערבב	leʔarˈbev
עב	ˈav
חַצַאִית	xatsaˈʔit
לְהִתְפַּטֵּם	lehitpaˈtem
מִזְרָקָה	mizraˈka
שימור	ʃiˈmur
לתלוש	litˈloʃ
טעינה	teʔiˈna
כַּפְכַּף	kafˈkaf
מדע	maˈda
יָשָׁר	jaˈʃar
לְהִתְרוֹקֵן	lehitroˈken
להתגרות	lehitgaˈrot
גַז	ˈgaz
מִשְׁבֵּצֵת	miʃˈbetset
גְּנֵיבָה	gneˈva
חִיסַכוֹן	xisaˈxon
מזורגג	mezurˈgag
בִּטוּחַ	biˈtuax
הַסְרַטַה	hasraˈta
אָמִיר	aˈmir
סָגוּר	saˈgur
משפחות	miʃpaˈxot
לְתַקְשֵׁר	letakˈʃer
לְגַנְדֵר	leganˈder
לייעל	lejaˈʔel
להתחזק	lehitxaˈzek
עותר	oˈter
לְהִתְווַדוֹת	lehitvaˈdot
הִתְנַסוּת	hitnaˈsut
מַטְעֵן	matˈʔen
לִשְׁסוֹעַ	liʃˈsoa
הגהה	hagaˈha
ליילל	lejaˈlel
לְהַצִיל	lehatˈsil
לָמוּת	laˈmut
מְזִימַה	meziˈma
לְצַחְצֵחַ	letsaxtˈseax
פי	ˈpi
זַגַג	zaˈgag
עתיק	aˈtik
מדביר	madˈbir
תַּייָּרוּת	tajaˈrut
הֶאָצָה	heʔatˈsa
שיטה	ʃiˈta
הִתְנַדְּבוּתִי	hitnadvuˈti
מֵתַח	ˈmetax
להיסחב	lehisaˈxev
אַחוֹרִי	axoˈri
לשוטט	leʃoˈtet
לחפות	lexaˈpot
הַבִּיטָּחוֹן	habitaˈxon
לְהִימוֹט	lehiˈmot
מְגִילַה	megiˈla
למסד	lemaˈsed
נזיל	naˈzil
מכתב	mixˈtav
פִּיקָּה	piˈka
קוֹמֶץ	ˈkomets
לְהֵיחַרֵט	lehexaˈret
יעפת	jaˈʔefet
אַבַטִיחַ	avaˈtiax
לדום	laˈdom
להיערם	leheʔaˈrem
לִנְסוֹר	linˈsor
תִקְשׁוֹרֵת	tikˈʃoret
תְבוּנַה	tvuˈna
לְפָרֵז	lefaˈrez
מקומות	mekoˈmot
גְּבֶרֶת	gˈveret
שֵׁטַח	ˈʃetax
עַווִיל	aˈvil
צִיפּוֹרֵן	tsiˈporen
הַהַחְלָטָה	hahaxlaˈta
לִפְתּוֹר	lifˈtor
לְהַתֵל	lehaˈtel
לְעַייֵן	leʔaˈjen
סַפָּק	saˈpak
זכוי	zaˈxuj
לְפַרְשֵׁן	lefarˈʃen
אנוכי	anoˈxi
לְהִתְחַסֵּד	lehitxaˈsed
חיתול	xiˈtul
לְזַרְגֵג	lezarˈgeg
להישמט	lehiʃaˈmet
יִיצוּא	jitˈsu
נֶבֶּךְ	ˈnebex
מבנה	mivˈne
בשביל	biʃˈvil
לָטוּב	laˈtuv
יוזמה	jozˈma
חץ	ˈxets
עַצוּם	atˈsum
סִיּוּר	siˈjur
לְהָזִיד	lehaˈzid
מַלְבֵּן	malˈben
תקף	taˈkef
מַעְבַּדַה	maʔabaˈda
לשוך	laˈʃox
להקדים	lehakˈdim
לְעַלְעֵל	leʔalˈʔel
הַפְרָיָה	hafraˈja
צְמַרְמוֹרֵת	tsmarˈmoret
לְהִתְחַשְׁבֵּן	lehitxaʃˈben
נושאים	nosˈʔim
לִשְׁזוֹף	liʃˈzof
צֶלַע	tˈsela
בודד	boˈded
נִיהוּל	niˈhul
גּוֹרָל	goˈral
אַזְכַּרַה	azkaˈra
לְפַלֵּג	lefaˈleg
לְלַכְסֵן	lelaxˈsen
מדבקה	madbeˈka
גליל	gaˈlil
וִיטַמִין	vitaˈmin
שְׁמוֹנֶה	ʃmoˈne
לְהַצְהִיר	lehatsˈhir
מוצדק	mutsˈdak
דַּפְדֶּפֶת	dafˈdefet
להפקיד	lehafˈkid
לעוג	laˈʔug
לְהִזְדַּהוֹת	lehizdaˈhot
הַגַהַה	hagaˈha
מרק	maˈrak
אגידה	agiˈda
מְרוּכַּב	meruˈkav
גָּלוּי	gaˈluj
שְׁתִיל	ʃˈtil
מִמוּל	miˈmul
פֶּרֶד	ˈpered
לְהִסְתַּפֵּק	lehistaˈpek
כד	ˈkad
מתרגם	metarˈgem
כְּתוּבַּה	ktuˈba
לְהָשִׁית	lehaˈʃit
בְּתוּלִיוּת	betuliˈjut
לנשוך	linˈʃox
לְחַתֵל	lexaˈtel
אַחֲרוֹן	axaˈron
בִּיצּוּעַ	bitˈsua
לְרַצֵף	leratˈsef
דיור	diˈjur
להישנק	lehiʃaˈnek
לֵיהַנוֹת	lehaˈnot
נַמוּךְ	naˈmux
רז	ˈraz
שֶׁכְּבָר	ʃekˈvar
סמיך	saˈmix
מְתִיחוּת	metiˈxut
אפילו	aˈfilu
שְׁתִילָה	ʃtiˈla
מְדוּלְדָּל	medulˈdal
שְׁבִיתָה	ʃviˈta
להעליל	lehaʔaˈlil
שֶׁל	ˈʃel
מועקה	muʔaˈka
להידרש	lehidaˈreʃ
עָווֹן	aˈvon
מוּם	ˈmum
לְנַשְׁנֵשׁ	lenaʃˈneʃ
להתחנן	lehitxaˈnen
עוֹתֵק	ˈotek
חניון	xanˈjon
פּוּנְדְקַאוּת	pundekaˈʔut
רֶבַע	ˈreva
לאזכר	leʔazˈker
אולי	uˈlaj
לְהֵיעַרֵם	leheʔaˈrem
קִמְרוֹן	kimˈron
שְׁמוּעָה	ʃmuˈʔa
לתפור	litˈpor
שַׁבָּת	ʃaˈbat
גומי	ˈgumi
להביט	lehaˈbit
ספרות	sifˈrut
לְבוֹשֵׁשׁ	levoˈʃeʃ
עקוב	aˈkov
לְהִיסַמֵךְ	lehisaˈmex
קַשִׁישׁ	kaˈʃiʃ
להתניע	lehatˈnia
קנוי	kaˈnuj
פִּיגוּל	piˈgul
שׁוֹפִין	ʃoˈfin
בְּשַׂר	bˈsar
לְאַמֵת	leʔaˈmet
להפריך	lehafˈrix
לפגוש	lifˈgoʃ
טַעַנַה	taʔaˈna
נִיקָּיוֹן	nikaˈjon
להימחק	lehimaˈxek
אִיווְרוּר	ivˈrur
הֵיעָנוּת	heʔaˈnut
גּוֹלֶם	ˈgolem
מובנה	muvˈne
לֶהָבָה	lehaˈva
מלט	ˈmelet
קסם	ˈkesem
עיקצוץ	iktˈsuts
לְהַצְעִיד	lehatsˈʔid
יְרוּשַׁה	jeruˈʃa
עַנִי	aˈni
בִּרְצִינוּת	birtsiˈnut
סגנון	sigˈnon
לכתב	lexaˈtev
מֶלֶךְ	ˈmelex
לְהִתְמַשֵׁךְ	lehitmaˈʃex
תגיד	taˈgid
לְהִתְעַכֵּב	lehitʔaˈkev
הֶעֱלֵם	heʔeˈlem
אִיּוּם	iˈjum
הִימַצְאוּת	himatsˈʔut
רוֹכְסָן	roxˈsan
לְהִיווַּסֵד	lehivaˈsed
כֵּרֵם	ˈkerem
סִילּוּק	siˈluk
ארכה	arˈka
ללטש	lelaˈteʃ
לשסוע	liʃˈsoa
להתברבר	lehitbarˈber
בְּעִנְיָין	beʔinˈjan
להיבדק	lehibaˈdek
לתעש	letaˈʔes
עֲרִימָה	ariˈma
יַהַלוֹם	jahaˈlom
טיפה	tiˈpa
לְהַשְׁבִּית	lehaʃˈbit
הַלְאֻומִי	haleuˈmi
אגוז	eˈgoz
לְהִתְנַפֵּץ	lehitnaˈpets
לשייף	leʃaˈjef
נֶמֶשׁ	ˈnemeʃ
קוֹר	ˈkor
לְהִתְקַהֵל	lehitkaˈhel
סמיכה	smiˈxa
לְהִתְקַשֵּׁט	lehitkaˈʃet
לגדוש	ligˈdoʃ
להתחבק	lehitxaˈbek
גוזיה	guziˈja
לַעֲקוֹף	laʔaˈkof
אִירְגוּן	irˈgun
לְהָטִיחַ	lehaˈtiax
רְפוּאָה	refuˈʔa
לְהַלְבִּישׁ	lehalˈbiʃ
קוץ	ˈkots
מֵמְשֵׁלֵת	memˈʃelet
עוֹמֶק	ˈomek
גִישַׁה	giˈʃa
הישג	heˈseg
דליל	daˈlil
לְחַצְצֵר	lexatsetˈser
גֵּירוּי	geˈruj
נגינה	negiˈna
לְרַכֵּךְ	leraˈkex
הֵידָד	heˈdad
חופן	ˈxofen
לְהִיתָּלֵשׁ	lehitaˈleʃ
לְהָפִיג	lehaˈfig
להימחץ	lehimaˈxets
לְהִתְנַהֵל	lehitnaˈhel
הַמְצָאָה	hamtsaˈʔa
ראשיתי	reʃiˈti
פַּסוּק	paˈsuk
לְייַצֵּג	lejatˈseg
שיטתי	ʃitaˈti
עיקרון	ikaˈron
להמרות	lehamˈrot
להילכד	lehilaˈxed
שיחרור	ʃixˈrur
אַלִּים	aˈlim
לְהִידַּייֵּן	lehidaˈjen
לְהִיגָּנֵז	lehigaˈnez
קצין	katˈsin
לְהִתְפּוֹצֵץ	lehitpotˈsets
לְהֵירַצֵחַ	leheratˈseax
גלויה	gluˈja
טייץ	ˈtajts
הִתְעַלְלוּת	hitʔaleˈlut
לְהַדְרִים	lehadˈrim
להתחזר	lehitxaˈzer
לְהַעֵז	lehaˈʔez
הוֹלֵל	hoˈlel
למקף	lemaˈkef
לְתַבֵּל	letaˈbel
משכורת	masˈkoret
לְהַטּוֹת	lehaˈtot
תה	ˈte
טַל	ˈtal
אנטישמי	antiˈʃemi
תִּלְבּוֹשֶׁת	tilˈboʃet
בטן	ˈbeten
לְהַלְשִׁין	lehalˈʃin
קַרִיא	kaˈri
לְפָרֵשׁ	lefaˈreʃ
לקטב	lekaˈtev
לְהִימַחֵק	lehimaˈxek
להתבריין	lehitbarˈjen
להסריח	lehasˈriax
פַּקוּחַ	paˈkuax
יתכן	jitaˈxen
אֵיךְ	ˈeix
אֵיפֹה	ˈeifo
תַעַדוּף	taʔaˈduf
לנו	ˈlanu
רָהִיט	raˈhit
מָתִיחַ	maˈtiax
רשאי	raˈʃaj
פָּזוּר	paˈzur
חֲמָמָה	xamaˈma
רוֹבֵה	roˈve
קהילה	kehiˈla
מִיחְזוּר	mixˈzur
עמוד	aˈmud
סָגוֹל	saˈgol
מַשְׁמָעוּתִי	maʃmaʔuˈti
לרשת	laˈreʃet
תַפְקִיד	tafˈkid
ביקוש	biˈkuʃ
מוּנַח	muˈnax
מוּחְצָן	muxtˈsan
לְהִתְאַלְמֵן	lehitʔalˈmen
הַעַלַמַה	haʔalaˈma
תחרות	taxaˈrut
סִנְגוּר	sinˈgur
שַׁבוּעַ	ʃaˈvua
אַדִישׁ	aˈdiʃ
רָבוּעַ	raˈvua
אַבַקֵשׁ	avaˈkeʃ
זַיִן	ˈzajin
לְהִתְבַּזְבֵּז	lehitbazˈbez
תַּעֲדוּף	taʔaˈduf
לקרות	likˈrot
מוּבְנֶה	muvˈne
לְנַתֵּב	lenaˈtev
להתקוטט	lehitkoˈtet
מִקְטוֹרֵן	mikˈtoren
לקשוט	likˈʃot
לַחְסוֹר	laxˈsor
הוֹכַחַה	hoxaˈxa
להאביק	lehaʔaˈvik
למרק	lemaˈrek
הַפְגַנַה	hafgaˈna
טהור	taˈhor
חייבת	xaˈjevet
מפגש	mifˈgaʃ
פורע	poˈrea
עַצַב	atˈsav
לְהַחַווִיר	lehaxaˈvir
דופק	ˈdofek
מודרני	moˈderni
ביצה	bitˈsa
לְהִימָּשֵׁךְ	lehimaˈʃex
תַלְמוּד	talˈmud
אֲכִילָה	axiˈla
לאיין	leʔaˈjen
שְׁקִיעָה	ʃkiˈʔa
להיאסף	leheʔaˈsef
לבודד	levoˈded
פְּשִׁיטָה	pʃiˈta
נור	ˈnur
פרה	paˈra
חירות	xeˈrut
לקנא	lekaˈne
חַרוּץ	xaˈruts
לָתוּר	laˈtur
כִּיכוּב	kiˈxuv
מְנִיפַה	meniˈfa
אֵד	ˈed
עולמי	olaˈmi
קרקפת	karˈkefet
לשורר	leʃoˈrer
לילי	leiˈli
חַנַק	xaˈnak
דְּבִיר	dˈvir
חמים	xaˈmim
חנפן	xanˈfan
שפן	ʃaˈfan
קיר	ˈkir
כַּרוּךְ	kaˈrux
לְכַסוֹת	lexaˈsot
עִסְקַה	isˈka
להשתתף	lehiʃtaˈtef
פְּנִינָה	pniˈna
חוֹדֶשׁ	ˈxodeʃ
הַפְחַתַה	hafxaˈta
תּוּרְגְּמָן	turgeˈman
אופייני	ofjaˈni
לְבַסֵּס	levaˈses
שְׁבוּעִי	ʃvuˈʔi
לְהִתְמַסְטֵל	lehitmasˈtel
דְּחִיפוּת	dxiˈfut
מַגִּיעִים	magiˈʔim
לצפור	litsˈpor
חַלַה	xaˈla
סיחרור	sixˈrur
לְהִסְתַּגֵּל	lehistaˈgel
נַדִיר	naˈdir
הֵיקֵף	heˈkef
אוֹנִייָּה	oniˈja
לְשַׁכְלֵל	leʃaxˈlel
נִיסּוּי	niˈsuj
אֲדִיקוּת	adiˈkut
אודות	oˈdot
לִשְׁקוֹט	liʃˈkot
לְחַזֵּר	lexaˈzer
שְׁבוּעִי	ʃvuˈʔi
הלוואה	halvaˈʔa
עוּגִייָּה	ugiˈja
תַדְהֵמַה	tadheˈma
לברבר	levarˈber
תְפִירַה	tfiˈra
ירקרק	jerakˈrak
דברי	divˈrej
יְשׁוּעַה	jeʃuˈʔa
צָרוּב	tsaˈruv
גֵירוּי	geˈruj
להעמיק	lehaʔaˈmik
גִּידּוּף	giˈduf
לְמִידָה	lemiˈda
שְׁלִילָה	ʃliˈla
נִיקוּז	niˈkuz
שְׁפִיּוּת	ʃfiˈjut
קצר	ktˈsar
טֶכְנַאי	texˈnaj
אֲווִיר	aˈvir
חטיף	xaˈtif
עַגְמוּמִי	agmuˈmi
להיגזר	lehigaˈzer
לְבַטֵּחַ	levaˈteax
לְהִתְאַנּוֹת	lehitʔaˈnot
השלמה	haʃlaˈma
להדליף	lehadˈlif
להתבונן	lehitboˈnen
אֲנָכִי	anaˈxi
חַסֵר	xaˈser
להגחיך	lehagˈxix
מסוק	maˈsok
לְהִצְטַייֵּר	lehitstaˈjer
מְנוּוָּן	menuˈvan
להתעקל	lehitʔaˈkel
תְּמוּתָה	tmuˈta
מנהיג	manˈhig
להציק	lehatˈsik
כיבוי	kiˈbuj
רְשׁוּת	reˈʃut
מַשְׁמִים	maʃˈmim
מַחְשׂוֹף	maxˈsof
תחלואה	taxluˈʔa
ברק	baˈrak
לְהֵירָמֵז	leheraˈmez
תַּסְנִין	tasˈnin
מַאַבַק	maʔaˈvak
לְהֵיעַצֵב	leheʔatˈsev
ניכור	niˈkur
לִרְמוֹס	lirˈmos
סְבִיבָתִי	svivaˈti
צריך	tsaˈrix
לְמַנֵּן	lemaˈnen
שַׁלְווַה	ʃalˈva
ימין	jaˈmin
שֵׁקֵל	ˈʃekel
מלאכותי	melaxuˈti
מזלף	mazˈlef
לסגוד	lisˈgod
חשמלאי	xaʃmaˈlaj
עקיצה	akitˈsa
שְׁקִיפוּת	ʃkiˈfut
אֵמוּנַה	emuˈna
מַחַסֵה	maxaˈse
לְהִתְחַבֵּט	lehitxaˈbet
תֵּיאוֹרְיָה	teʔorˈja
שַׂעֲרָה	saʔaˈra
מְצוּלַע	metsuˈla
עָב	ˈav
מְפַגֵּר	mefaˈger
הִתְרַחַשׁוּת	hitraxaˈʃut
להתנחמד	lehitnaxˈmed
גוש	ˈguʃ
תַּעֲשִׂייָּתִי	taʔasijaˈti
חוֹפֶשׁ	ˈxofeʃ
לְקַרְקֵשׁ	lekarˈkeʃ
כביש	kˈviʃ
לְהַכְתִיב	lehaxˈtiv
ללבות	lelaˈbot
צַעַדַה	tsaʔaˈda
שנאה	sinˈʔa
הכרח	hexˈreax
ריפרוף	rifˈruf
לבנות	livˈnot
תַּקְרִיב	takˈriv
שַׁכֵן	ʃaˈxen
לאמוץ	leʔeˈmots
שחיין	saxˈjan
תַאַווַה	taʔaˈva
אֵלִי	eˈli
הִתְנַצְּרוּת	hitnatsˈrut
לחתוך	laxˈtox
נְשִׁימָה	neʃiˈma
עוֹדֶף	ˈodef
מלגז	malˈgez
נָקִיק	naˈkik
עָלוּם	aˈlum
צִימָּאוֹן	tsimaˈʔon
מְדִינִיוּת	mediniˈjut
לְלַכֵּד	lelaˈked
מְנוֹרָה	menoˈra
לְהוֹשִׁיעַ	lehoˈʃia
כותונת	kuˈtonet
לְתַרְגֵם	letarˈgem
תכתובת	tixˈtovet
מְפוֹרַר	mefoˈrar
הִתְאַהֲבוּת	hitʔahaˈvut
צליין	tsalˈjan
לַעֲמוֹל	laʔaˈmol
מלכות	malˈxut
רַעַשׁ	ˈraʔaʃ
לְהַטְרִיד	lehatˈrid
שָׁמִיר	ʃaˈmir
לְהִיסָּתֵם	lehisaˈtem
שָׁלָל	ʃaˈlal
מְחוּסָּם	mexuˈsam
לציין	letsaˈjen
יָרִיד	jaˈrid
מעידה	meʔiˈda
כַּמוּת	kaˈmut
הַדְרַכַה	hadraˈxa
נִיתוּק	niˈtuk
שֵׁשַׂר	ʃeˈʃar
כֶּבֶשׂ	ˈkeves
לְהִתְבַּצֵּר	lehitbatˈser
מרקם	mirˈkam
לְהָפִיץ	lehaˈfits
בצל	batˈsal
להידפק	lehidaˈpek
טקס	ˈtekes
חָלוֹם	xaˈlom
אָפוֹר	aˈfor
נָזִיל	naˈzil
מַפִּית	maˈpit
תמיד	taˈmid
לאזול	leʔeˈzol
להצטער	lehitstaˈʔer
קָשִׁישׁ	kaˈʃiʃ
נִיצּוּל	nitˈsul
לְהַלְעִיט	lehalˈʔit
בְּהֵקְדֵם	behekˈdem
עֵיצַה	etˈsa
שֶׁבִי	ˈʃevi
ערש	ˈeres
עַשֵׂרֵת	aˈseret
לחבר	lexaˈber
מַקְדֵחַה	makdeˈxa
לְהִיסַרֵט	lehisaˈret
לעניני	leʔinjeˈnej
דווה	daˈve
לְהִתְאַדּוֹת	lehitʔaˈdot
לְהַטִיל	lehaˈtil
טֵכְנַאי	texˈnaj
לְלַטֵשׁ	lelaˈteʃ
להתיש	lehaˈtiʃ
לַבוּז	laˈvuz
אווירון	aviˈron
כַּבַּאי	kaˈbaj
לְהַעְפִּיל	lehaʔaˈpil
נִרְחָב	nirˈxav
להתכלכל	lehitkalˈkel
הידד	heˈdad
דַווַּר	daˈvar
חקלאי	xaklaˈʔi
הַתְקָפָה	hatkaˈfa
זְלִילָה	zliˈla
מתוק	maˈtok
הַפְתָּעָה	haftaˈʔa
לַנוֹשֵׂא	lanoˈse
חיסכון	xisaˈxon
עַרֵימַה	areˈma
אלולי	iluˈlei
נֶאֱצָל	neʔetˈsal
לְהִיווַּשֵׁעַ	lehivaˈʃea
הַבְרַקַה	havraˈka
מאסר	maʔaˈsar
פיקה	piˈka
להמחיז	lehamˈxiz
ללגום	lilˈgom
לוח	ˈluax
כבר	kˈvar
לטפל	letaˈpel
להידבק	lehidaˈvek
לְהַצִּיג	lehatˈsig
לשלוק	liʃˈlok
רַשׁוּת	raˈʃut
לְהִשְׁתוֹפֵף	lehiʃtoˈfef
יַחַץ	ˈjaxats
שיכלול	ʃixˈlul
לְהִתְגַבֵּשׁ	lehitgaˈbeʃ
לְהֵיחָתֵם	lehexaˈtem
לשיר	laˈʃir
מפלצת	mifˈletset
סַדָּר	saˈdar
קבר	ˈkever
שתל	ˈʃetel
גֶּפֶן	ˈgefen
תשתית	taʃˈtit
לזווג	lezaˈveg
היטמעות	hitamˈʔut
חַצוֹת	xatˈsot
אכילה	axiˈla
יַלִיד	jaˈlid
עוגייה	ugiˈja
אֲרָעִי	araˈʔi
פיתוח	piˈtuax
חיוור	xiˈver
דיבה	diˈba
שָׂרִיג	saˈrig
חמה	xaˈma
חריג	xaˈrig
לִתְמוֹךְ	litˈmox
לשנס	leʃaˈnes
גְעַרַה	geʔaˈra
צֵלַע	tˈsela
להירכש	leheraˈxeʃ
יחיד	jaˈxid
יַגֵעַ	jaˈgea
לַדוּשׁ	laˈduʃ
לְהִידָּחֵף	lehidaˈxef
עִיסוּק	iˈsuk
בִּיטוּחַ	biˈtuax
לִנְגוֹהַ	linˈgoa
לְהִישַׁמֵד	lehiʃaˈmed
התייקרות	hitjakˈrut
לִבְטוֹל	livˈtol
ממשלה	memʃaˈla
בַּחוּר	baˈxur
לְהִתְקַצֵף	lehitkatˈsef
קשור	kaˈʃur
מקביל	makˈbil
תיסכול	tisˈkul
לְהַחֲטִיא	lehaxaˈti
מוֹתֵק	ˈmotek
כַּתַבַה	kataˈva
בלי	bˈli
לְהִיפַּתֵחַ	lehipaˈteax
התעניינות	hitʔanjeˈnut
רַחַב	raˈxav
סִיוֹמֵת	siˈjomet
חימר	xeˈmar
לַעֲמוֹס	laʔaˈmos
לְהַזִּיעַ	lehaˈzia
לְהֵיחַקֵר	lehexaˈker
לְטַאְטֵא	letaˈte
בַּלָּם	baˈlam
פְּרַט	pˈrat
