דִּ מְ י וֹן	di mˈ j on
הַצְ הַ רַה	hatʃ aˈ ra
לְ מַ סְ פֵּ ר	le ma sˈ pe r
זְ רִי חַה	z riˈ xa
אָ ה וּ ב	aˈ h u v
הַ שְׁ חַ רַה	ha ʃ xaˈ ra
מ נה יג	ma nˈhi g
לְ דַ לְ דֵ ל	le da lˈ de l
ס ב י ר ות	s v iˈ r ut
א י ו ם	aˈ j o m
סְ פֶּ צִי פִ י	s pe tˈsi f i
אַ דִי ב	aˈ di v
סְ אַה	seˈ ʔa
הִ תְ נַ גְּ ד וּת	h it na g ˈd ut
לְ מַ קֵ ר	le maˈ ke r
ע צ ל ות	a tsˈ l ut
ל הת ק י ף	le hatˈ k i f
סְ פִ י קָ ה	s fi ˈ k a
לְ הִ תְ גַ לְ גֵ ל	le h it ga lˈ ge l
ל ה יק ר ע	le hi kaˈ re a
ע וצ מה	o tsˈ ma
ל ז ק ו ף	l izˈ k o f
לִ מְ ח וֹ ל	li mˈ x o l
בְּ טֵרֵ ם	beˈ tere m
דּ ְקִ י רָ ה	d k iˈ r a
שָׁ ק וּעַ	ʃaˈ k ua
ה י כ ל	h e ˈxa l
סַ בְ לָ ן	sa vˈ la n
חַ מְ קַ ן	xa mˈ ka n
לְ זַ מֵ ן	le zaˈ me n
כּ ְלַ לִי	k laˈ li
ל פ נ ט ז	le f anˈ te z
לָ ח וּ ל	laˈ x u l
הַ פְ חַ תַה	ha f xaˈ ta
נַ קַ ר	naˈ ka r
תֶּ זָ ה	ˈte z a
ל הת נצ ל	le hit natˈse l
ל הת ח מ ש	le hit xa ˈme ʃ
גי א	ˈga j
פַּ עוֹ ט	paˈ ʔo t
פּ ְנִ י נָ ה	p ni ˈ n a
קֵ שֵׁ ר	ˈke ʃe r
חַ שׁ וּ ךְ	xaˈ ʃ u x
קָ טָ ן	kaˈ ta n
פִּ סְ קָ ה	pi sˈ k a
מְ ח וֹ נָ ן	me x oˈ na n
לְ הִ י ווּ ָצ ֵ ר	le h i va tˈs e r
לְ הִ שְׁ תַ כְ נֵ עַ	le hi ʃ ta xˈ ne a
לִ גְ ס וֹ ס	li gˈ s o s
ה ֲ לִי ךְ	h aˈ li x
לִ מְ צוֹ ת	li m tˈso t
לְ הַ עַ רִי ךְ	le ha ʔaˈ ri x
רַ צִי ף	ra tˈsi f
לְ דַ בֵּ ר	le daˈ be r
דֵ י ר וּ ג	de ˈ r u g
ח ומ ה	x oˈm a
לְ הַ שְׁ ו וֹת	le ha ʃˈ v ot
סְ ג וּ לָּ ה	s g uˈ l a
ל ה י ע ת ק	le h e ʔ aˈte k
ע ס ק י	i sˈ k i
רָ שָׁ ע	raˈ ʃ a
שִׁי וּ ר	ʃiˈj u r
ל ה צ נ י ח	le h atsˈ n i ax
לְ דַ לֵּ ג	le daˈ le g
ל ה סת י י ע	le hi sta ˈj e a
מְ נִי פַה	me niˈ fa
הֵ תְ קֵ ן	he tˈ ke n
טִי סָ ה	tiˈ s a
ל ל ה ו ת	l ilˈ h o t
אֵ טֵ ב	ˈe te v
לְ מַ זְ מֵ ז	le ma zˈ me z
מְ רַ תֵ ק	me raˈ te k
לְ צַ נְ תֵ ר	le tsa nˈ te r
ש פ ל	ˈʃe fe l
מ ע וש ה	me ʔ uˈs e
לְ בַע ְ בֵּ עַ	le vaʔ aˈ be a
ל ה ח צי ן	le h ax tˈsi n
אַ שְׁ לָ ג	a ʃˈ la g
עַ לִ יַה	a liˈj a
ח ת י ך	xa ˈt i x
א וֹ סֵ ף	ˈ o se f
הַ סַ רַה	ha saˈ ra
ס וּ כַּ ר	s uˈ ka r
שָׁ פָ ן	ʃaˈ fa n
ה וֹ רֵה	h oˈ re
קַ בַּ ל	kaˈ ba l
פ ק ס	ˈfa k s
ר יש ו ם	r iˈʃ u m
מְ י וּ בָּ ל	me j uˈ ba l
בס דר	beˈse der
ל מו ט ט	le moˈ te t
מ ע י	me ˈʔ i
בִּי ק וּ שׁ	biˈ k u ʃ
סֶלֶ ב ּ	seˈl e b
ש ר	ˈsa r
מַ חֲ זַ א י	ma xa ˈz a j
עוֹ שָׂ ה	oˈ s a
לִ לְ ח וֹ ם	li lˈ x o m
שִׂ נְ אַה	s inˈ ʔa
ל ה גי ד	le h aˈgi d
מַ קְ בִּי ל	ma kˈ bi l
לְ נַ סֵּ ר	le naˈ se r
מ די ט צי ה	me diˈ ta tsj a
ל נ ג ב	le na ˈge v
ל ה ר ע י ל	le h arˈ ʔ i l
חֲ ל וּ פִ י	xa l uˈ f i
פ ק ו ל ט ה	faˈ k u l t a
לְ הַ עַ שִׁי ר	le ha ʔaˈ ʃi r
ל הת ל ח ש	le hit la ˈxe ʃ
לְ הִ תְ עַ קֵ ל	le hi tʔ aˈ ke l
קִ לְ שׁ וֹן	ki lˈ ʃ on
חַ בֵ רַה	xa veˈ ra
גַ בַּ ן	gaˈ ba n
נֵ פֵ שׁ	ˈne fe ʃ
ל זה ו ת	le zaˈh o t
ק ט ו ע	kaˈ t u a
שְׁ חִ ית וּת	ʃ xi ˈt ut
תַּ סְ בִּי ךְ	ta sˈ bi x
לַ חַ ן	ˈla xa n
בִּ טָּ ח וֹן	bi taˈ x on
א ח ר ו ן	a xa ˈr o n
לְ מַ קֵ ף	le maˈ ke f
הִ תְ נַ צְּ ל וּת	h it na tsˈ l ut
הַ בַּ עַה	ha baˈ ʔa
כי ש ור י ם	ki ʃ uˈr i m
יַ תֵ ד	jaˈ te d
זָ נָ ב	zaˈ na v
ל ר ח ף	le r aˈxe f
מ כ ב סה	mi x b aˈsa
אִי סּ וּ ף	iˈ s u f
לִ רְ ד וֹת	li rˈ d ot
ז כי י ן	z axˈj a n
עִי גּ וּ ן	iˈ g u n
צַ ר וּ ד	tsaˈ r u d
מַ ח וֹ ז	maˈ x o z
ל ב כ ות	l e vaˈko t
הֵ דְ חֵ ק	he dˈ xe k
חַ י יַ ל	xaˈ j a l
לְ הָ אִי ר	le haˈ ʔi r
ל ה ז ד ג ג	le hi z daˈ ge g
לְ הַ קְ שִׁי ב	le ha kˈ ʃi v
ל הת ב ט א	l e hi t baˈte
מִ שְׁ תַ מֵ שׁ	mi ʃ taˈ me ʃ
נְ שַׁ מַה	ne ʃaˈ ma
גְּ דִי	g ˈdi
מַ מְ לַ כְ תִי	ma m la xˈ ti
מַא ֲ כָ ל	maʔ aˈ xa l
פּ וֹ שֵׁ ר	p oˈ ʃe r
בּ וֹ קֵ ר	ˈb o ke r
צַ י יָּ ר	tsa ˈ ja r
אֵ י ר וּעַ	e ˈ r ua
זי ה ו י	ziˈ h u j
ג זי ר ה	g ziˈ r a
לְ הִ יפַּ גֵ שׁ	le h ipaˈ ge ʃ
קְ טִי פַה	k tiˈ fa
לֶ א ֱ ר וֹת	le ʔ eˈ r ot
כְּדַאי	keˈdaj
ק י פ א ו ן	k i pa ˈʔ o n
ר מ ק ו ל	r amˈ k o l
הַ שָּׁ נָ ה	ha ʃaˈ n a
הַ זְ מָ נָ ה	ha z maˈ n a
ק נ ס	kˈ na s
תַ לְ מִי ד	ta lˈ mi d
הַ זְ מַ נַה	ha z maˈ na
לְ שַׁ דֵּ ר	le ʃaˈ de r
לְ שַׁ ט וֹת	le ʃaˈ t ot
אֵ מ וּ נַה	e m uˈ na
סי מ ן	siˈ ma n
א ֲסֵ י פָ ה	a s eˈ f a
ט י פ וס	t iˈ p us
חַ שָּׁ ב	xaˈ ʃa v
הַ דְ מָ יָ ה	ha d maˈ j a
חֶ דֶ ר	ˈxe de r
אֵ ב	ˈe v
מ וֹ פָ ע	m oˈ f a
ל ה דא י ב	le h adˈʔ i v
ל ל כ וד	l ilˈ k od
ח מו ל ה	xa ˈmu l a
ה י ר ד מו ת	h e r adˈ mu t
מַ קְ דֵּ חַ	ma kˈ de ax
תַּ ה ֲ לִי ךְ	ta h aˈ li x
פר ש	ˈpere ʃ
בִּי ּ וּ ב	bi ˈj u v
ג מלא י	g imˈla j
מ ר כ זי	me r kaˈ zi
לַ חֲ ו וֹת	la xaˈ v ot
אַ תַה	aˈ ta
מִי טַה	miˈ ta
לְ בַ שֵּׂ ר	le vaˈ se r
לְ הַ גִ י ף	le ha ˈg i f
לְ הִ יקַ טֵ עַ	le h ikaˈ te a
ר י ב	ˈr i v
לְ מַ שְׁ מֵ עַ	le ma ʃˈ me a
קוֹד ֵ שׁ	ˈkod e ʃ
אִ זְ מֵ ל	i zˈ me l
לְ הִ יד ָּ מ וֹת	le h id aˈ m ot
חי ב ור	xiˈ b ur
קָ קָ א וֹ	kaˈ ka ʔ o
נ יט ר ל י	n et ˈra l i
מ וּ צָ ק	m u tˈsa k
לָ תֵ ת	laˈ te t
ע ֲצ ִי ר וּת	a ts iˈ r ut
ל י יש ר	le j aˈʃe r
עַ קְ רַ ב	a kˈ ra v
ל ה ב ט י ח	le h avˈ t i ax
י ר ך	j aˈre x
לָ שׁ וּ ר	laˈ ʃ u r
סַ יִ ף	ˈsa ji f
לְ הִ זְ דָּ רֵ ז	le hi z daˈ re z
א ז ור	eˈ z or
לְ הִ יגַ זֵ ם	le hi gaˈ ze m
לְ עַ לֵּ ף	le ʔaˈ le f
הַ שְׁ רַ אַה	ha ʃ raˈ ʔa
הָ דָ ר	haˈ da r
חָ ס וּת	xaˈ s ut
מַ רְ דַ ן	ma rˈ da n
לְ הִ תְ ר וֹ שֵׁ שׁ	le h it r oˈ ʃe ʃ
שָׂ כ וּ ר	saˈ x u r
צַ ר וּ ר	tsaˈ r u r
לְ מַ זְ עֵ ר	le ma zˈ ʔe r
לְ מַ מֵ ן	le maˈ me n
מי מ ן	meiˈ ma n
לְ חַ שְׁ בֵּ ן	le xa ʃˈ be n
לְ הַ חֲ רִי שׁ	le ha xaˈ ri ʃ
פַּ רְ שַׁ ן	pa rˈ ʃa n
חִ י בַּה	x i ˈba
ח סי נ ות	xa siˈ n ut
דָּ ר וּ שׁ	daˈ r u ʃ
הַ צַ פַה	ha tsaˈ fa
שַׁ פַּ עַ ת	ʃaˈ pa ʔa t
ל ג ב ש	le g aˈbe ʃ
זֶ ה וּ	ˈze h u
ע י מו ת	i ˈ mu t
מח ב ת	max ˈva t
תַ אַ רִי ךְ	ta ʔaˈ ri x
אֵ ד	ˈe d
שִׁי ד וּ ר	ʃiˈ d u r
לְ א וֹר ֶ ךְ	leˈ ʔ or e x
לָ גִ י חַ	la ˈg i ax
מו ת ק	ˈmo te k
לְ הִ תְ קַ זּ ֵ ז	le h it ka ˈz e z
גַ רְ עִי נִי	ga r ʔiˈ ni
הַ מ וּ לַה	ha m uˈ la
י ב ו א	j aˈ v o
ל כ סי ן	la xˈ si n
פַּ ט ִּ י שׁ	p a ˈt i ʃ
מ ג ד ל	mi gˈ da l
נ ח ש	na ˈxa ʃ
ס וג י ה	s ugˈ j a
הת מ כ ר ות	hit ma kˈ r ut
תַ סַ ס	taˈ sa s
ל הת ע בר ת	le hitʔ a vˈre t
תַּ דְ הֵ מָ ה	ta d heˈ m a
א ח ור	aˈ x or
ה וֹן	ˈh on
צ ֵ לֵ ם	tˈs e le m
קִי צּ וּ ר	ki tˈs u r
ע ר ב ה	a raˈ v a
שָׁ מִי שׁ	ʃaˈ mi ʃ
לע מ ת	le ʔaˈme t
פּ ְצַ צַה	p tsa tˈsa
נֶ כֶ ס	ˈne xe s
ל נ ו ד	l aˈn u d
לְ פַ לֵ ל	le faˈ le l
לְ פָ ח וֹת	le faˈ x ot
שִׁ י ע וּ ל	ʃi ˈ ʔ u l
א ב ז ם	a v ˈza m
שַׁ ם	ˈʃa m
לְ תַ דְ לֵ ק	le ta dˈ le k
לְ הִ זְ דַה וֹת	le hi z daˈh ot
מְ ל וּ נַה	me l uˈ na
חֲ סִי נ וּת	xa siˈ n ut
ר ע י ל ות	re ʔ iˈ l ut
צִ בְ עוֹ נִי וּת	tsi vʔ o niˈj ut
הִ ת ְמַ צְּ א וּת	hi t ma tsˈ ʔ ut
מְ ר וּ צָ ה	me r u tˈs a
מ ק ל ט	ma kˈ le t
יִ יס וּ רִי ם	j is uˈ ri m
פר ו ד	paˈr u d
ל ה ס ל יק	le h asˈ l ik
לְ הִ ילַ פֵ ת	le hi laˈ fe t
לְ הֵי הַ רֵ ג	le he haˈ re g
ת ר כי ז	ta rˈ ki z
לִ צְ ו וֹ חַ	li tsˈ v o ax
ע צי ר ות	a tsiˈ r ut
ט ק ס	ˈt eke s
לְ נַ חֵ שׁ	le naˈ xe ʃ
ח סי ד	xa ˈsi d
ל ה ח שי ב	le h axˈ ʃi v
הֵ סְ גֵ ר	he sˈ ge r
מַ זְ כֶּרֶ ת	ma zˈ kere t
אִ יחְ ס וּ ן	i xˈ s u n
פַּ רַה	paˈ ra
מְ זִ י מָּ ה	me zi ˈ m a
ל ש ת ו ת	l iʃˈ t o t
לַ חַ ז וֹ ק	la xaˈ z o k
פ ל יש ה	p l iˈʃ a
אָ מַ רְ תָּ	ʔaˈ ma r t
לְ הַ גְ זִ י ם	le ha gˈ z i m
ר ש מי	r iʃˈ mi
ל ה יח ר ץ	le h exaˈ re ts
ל הת ג ו נ ן	le hit g o ˈne n
הת ק ד מו ת	hit k adˈ mu t
וִ יס וּת	v iˈs ut
מ ש ה ו	ˈma ʃe h u
מַא וֹר	maˈʔ or
בַּ קָּ שָׁ ה	ba kaˈ ʃ a
ג פ נ י	g afˈ n i
מַ חַ זֵה	ma xaˈ ze
ל ר ק וד	l irˈ k od
מ וּ עָ ד	m uˈ ʔa d
ל ר ע וש	l irˈ ʔ oʃ
ל ס נ כ ר ן	le sa n kˈ re n
אֵ תְ מ וֹ ל	e tˈ m o l
מִ דְ שָׁ אָ ה	mi d ʃaˈ ʔ a
מְ י וּ מַ ן	me j uˈ ma n
לְ הֵי חָ רֵ שׁ	le he xaˈ re ʃ
ל ה יח ת ך	le h exaˈ te x
נִי תּ וּ חַ	niˈ t u ax
הַצְ דַ עַה	hats daˈ ʔa
מ ש ק ו ל ת	mi ʃˈ k o le t
ל ח ל ו ת	le xa ˈl o t
לְ הַ לֵּ ל	le haˈ le l
לְ הַ שְׁ בִּי עַ	le ha ʃˈ bi a
י מי ן	j aˈmi n
לִ שְׂ ר וֹד	li sˈ r od
לְ הַ תְ נִי עַ	le ha tˈ ni a
רִי בַּה	ri ˈba
ח ל מו ן	x elˈ mo n
ל ס ח ר ר	le sa xˈ re r
לִ תְ ח וֹ ב	li tˈ x o v
ל י יצ ב	le j atˈse v
חִ יק וּ י	xi ˈk u j
מו בר ר	mu vˈra r
דּ ְבִי ק וּת	d viˈ k ut
לְ הִ ידַ לְ דֵ ל	le h ida lˈ de l
מְ פ וֹר ַ ר	me f oˈr a r
הַ רְ חַ בַה	ha r xaˈ va
שכ מה	ʃixˈ ma
רִי מּ וֹן	riˈ m on
שֵׁ ן	ˈʃe n
ל הת א מ ת	le hitʔ aˈ me t
ת ל וש	t ˈl uʃ
שׁ וֹ חֵ ר	ʃ oˈ xe r
לְ הִ יד ָּ בֵ ק	le h id aˈ ve k
לַה ֲ ר וֹת	lah aˈ r ot
בִּי זְ בּ וּ ז	bi zˈ b u z
ר ק	ˈra k
בַּ לָּ שׁ	baˈ la ʃ
לִ צְ פּ וֹן	li tsˈ p on
תַּ א ֲ ו וָ ה	ta ʔ a ˈ v a
לְ הִ י שָּׁ לֵ ט	le h i ʃaˈ le t
אַ תָּ ה	aˈ t a
צ ֵ אֵ צַא	tse ʔ e tˈsa
נְ סִי כַה	ne si ˈxa
לְ הִ ת ְגַ י יֵ ס	le hi t gaˈ j e s
לַ חַ ל וֹ ץ	la xaˈ l o ts
ל הת ח ש ק	le hit xa ˈʃe k
ל הת וו כ ח	le hit vaˈ k eax
מְ חִ י לַה	me xi ˈ la
פ לא פ ל	faˈ la fe l
תַ רְ כִּי ב	ta rˈ ki v
לְ הַחְ כִּי ר	le haxˈ ki r
ל ח פ ו ץ	la xˈ p o ts
ח ם	ˈxa m
ח ר ד	xa ˈre d
לְ כ ַ זּ ֵ ב	le x a ˈz e v
ת ח ל י ב	ta xˈ l i v
לְ הִ ת ְחַ מֵּ שׁ	le hi t xaˈ me ʃ
לְ הִ ת ְחַ רֵ ז	le hi t xaˈ re z
קַ רִי א	ka ˈr i
ז ג	ˈza g
לְ גַ נ וֹת	le gaˈ n ot
ק ס ם	ˈke se m
מִ כֵּ ן	miˈ ke n
ל הת ג מ ד	le hit g aˈme d
לְ הַלְ חִ י ן	le halˈ x i n
לְ הִ תְ ג וֹר ֵ ר	le h it g oˈr e r
מ וּ שַׁ ר	m uˈ ʃa r
בְּ הֵ מָ ה	be heˈ m a
שַׁ מְ רַ נִי	ʃa m raˈ ni
שַׁ חַ ר	ˈʃa xa r
ל ה יט מ ן	le hi ta ˈme n
חִ יס וּ ן	xi ˈs u n
לְ אַ נ וֹת	le ʔaˈ n ot
לָ כֵ ן	laˈ xe n
לִ סְ עוֹ ד	li sˈ ʔo d
דַ פְ דֵ פֵ ת	da fˈ de fe t
ד ף	ˈda f
מְ מ וּ חְ שָׁ ב	me m u xˈ ʃa v
מִ מְ חַ טַה	mi m xaˈ ta
כֶּ נֶ ס	ˈke ne s
לְ הַ סְ עִי ר	le ha sˈ ʔi r
לְ שַׁ פֵּ ר	le ʃaˈ pe r
ק יק י ו נ י	k ik j oˈ n i
לְ סָ רֵ ס	le saˈ re s
תִ לְ בּ וֹ שֵׁ ת	ti lˈ b o ʃe t
לְ הַ פְ שִׁ י ל	le ha fˈ ʃ i l
לְ הִ תְ בַּ לְ בֵּ ל	le h it ba lˈ be l
אַ שְׁ רַא י	a ʃˈ ra j
כִּי נַה	kiˈ na
ל פ ת ו ת	le faˈ t o t
ר יק ב ו ן	r ikaˈ v o n
ת ק צי ר	ta k tˈsi r
ל ה ק צ ות	l e h aktˈso t
אַ שְׁ רַא י	a ʃˈ ra j
אַ מ וּ ר	aˈ m u r
צַע ַ צ וּעַ	tsaʔ a tˈs ua
בר וו ז	barˈ va z
ל צ מ ר ר	le ts amˈ re r
לִ פְ ח וֹ ס	li fˈ x o s
נ וֹ טָ רִי ק וֹן	n o ta riˈ k on
לְ הִ זְ דַ ווּ ֵ ג	le hi z da ˈv e g
לְ שַׁ דֵ ל	le ʃaˈ de l
לִ מְ ר וֹד	li mˈ r od
ל צ ר ו ם	l itsˈ r o m
לְ הַ גְ שִׁי ם	le ha gˈ ʃi m
רִי ק וּ ד	riˈ k u d
הת נ ת ק ות	hit n atˈ k ut
זִ יג וּ ג	ziˈ g u g
ל ה ו ק י ע	le h oˈ k i a
ל נ פ ח	le na ˈpe ax
אֵ שׁ	ˈe ʃ
בְּ בַ קַ שַׁה	be va kaˈ ʃa
לְ צַ דֵ ד	le tsaˈ de d
מ ג מה	me g aˈma
פ ק ק	p ˈka k
תור ה	toˈr a
לְ קַ ווּ ֵ ד	le ka ˈv e d
תַי יַ ר וּת	taj aˈ r ut
נִי ס וּ י	niˈ s u j
מְ כ ַ שּׁ ֵ ף	me x aˈ ʃ e f
לַעַ ב ֹ ד	laʔaˈ v o d
לְ הִ סְ תַ עֵ ף	le hi s taˈ ʔe f
לִ גְ ח וֹ ךְ	li gˈ x o x
ה ז דה ות	hi z daˈh ut
יָ ם	ˈja m
לְ הִ תְ נַ חְ מֵ ד	le h it na xˈ me d
לְ ו וַ סֵּ ת	le v aˈ se t
לְ הֵי עָ טֵ ר	le he ʔaˈ te r
ל הת מ ר כ ז	le hit ma r ˈke z
כָּ נ וּעַ	kaˈ n ua
פִּי קּ ֵ חַ	piˈ k e ax
הֶ סְ גֵּ ר	he sˈ ge r
ל ב ז ות	l e vaˈzo t
מו ח ש	muˈ xa ʃ
לְ הִ יטַ מֵ עַ	le hi taˈ me a
לִ שְׁ ק וֹ ט	li ʃˈ k o t
חֲ מַ קְ מַ ק	xa ma kˈ ma k
ל הת נ ק ז	le hit na ˈke z
סְ תָ י ו	sˈ t a v
מִי ל וּ אִי ם	mi l uˈ ʔi m
מְ צ וּ פֵּה	me ts u ˈpe
צַ רְ כָ ן	tsa rˈ xa n
ה ינ ת ק ות	h in atˈ k ut
צ וּ רַה	ts uˈ ra
א ו ם	ˈ o m
רצ ף	ˈretse f
לִי נ וֹ ק	liˈ n o k
ח וֹ מַה	x oˈ ma
כּ ְתִ י בָ ה	k t iˈ v a
א וֹ זֶ ן	ˈ o ze n
א ח ור י י ם	a x oˈra j i m
לִ פְ צוֹ עַ	li f tˈso a
דּ ֶ ג ֶ ל	ˈd e g e l
מל כ ות י	mal x uˈt i
ל ד ב ב	le da ˈbe v
ר דו ד	raˈ du d
חַ יִ י ם	xaˈ j i m
ע ות ק	ˈ ote k
לְ הִ ת ְמַ קּ ֵ ם	le hi t maˈ k e m
ג ו ב ה	ˈg o v a
בִּ דְ י וֹן	bi dˈ j on
רִ ווְ י וֹן	ri vˈ j on
בִּי צ וּעַ	bi tˈs ua
לְ תַ עֵ ד	le taˈ ʔe d
תַּ רְ מִי ל	ta rˈ mi l
לְ הִ שְׁ תַ מֵ ר	le hi ʃ taˈ me r
לְ הִ ת ְמַ ע ְרֵ ב	le hi t ma ʔ aˈre v
ל ה מל יט	le h amˈl it
לְ פֶ תַ ע	leˈ fe t a
לְ הַ שְׂ כִּי ל	le ha sˈ ki l
ל הת ט ש ט ש	le hit ta ʃˈ te ʃ
ק ד ח ת	kaˈ da xa t
נְ ס וֹר ֵ ת	neˈ s or e t
סי ר	ˈsi r
לְ הִ שְׁ תַ נ וֹת	le hi ʃ taˈ n ot
לְ י יַ נֵּ ן	le j aˈ ne n
ל הת פ וצ ץ	le hit p otˈse ts
מ נ וס	m aˈn os
ל ית ו ם	l iˈt o m
מְ דִי נ וֹת	me diˈ n ot
לְ הַ אִי ץ	le haˈ ʔi ts
נ ת ו ן	na ˈt u n
לְ קַ מֵ ט	le kaˈ me t
מ ש ו נה	me ʃ uˈ ne
הִ תְ נַ צְ ל וּת	h it na tsˈ l ut
כִּ כָּ ר	kiˈ ka r
ל ש מ ן	le ʃ aˈme n
לְ הַ מְ חִ יז	le ha mˈ x iz
ח ש מ ל	xa ʃˈ ma l
לְ הִ יפַּ לֵא	le h ipaˈ le
ל פ נ ו ת	le faˈ n o t
שִׁ לְ יַה	ʃi lˈ ja
חט י פ ה	xat iˈ f a
צְ פִ י יָּ ה	ts fi ˈ j a
שִׁ יּ וּ ט	ʃiˈ j u t
גִּ י בּ וּ שׁ	gi ˈ b u ʃ
א צ ב ע	ˈ ets b a
אַ לְ ח וּ טִי	a l x uˈ ti
חִ י דּ וּ שׁ	xi ˈ d u ʃ
לְ רַ סֵ ס	le raˈ se s
לִנְ ק וֹ שׁ	linˈ k o ʃ
מה נ ד ס	meh anˈ de s
ת מו נה	t muˈ na
ס ב ור	sa ˈv ur
נ ת ק	ˈne te k
רַע ַ ד	ˈraʔ a d
לְ מַ פּ וֹת	le maˈ p ot
כּ ְ ר וּ בִי ת	k r u ˈ vi t
לְ הִ ידַ רְ דֵ ר	le h ida rˈ de r
לְ הִ ת ְחַ צֵּ ף	le hi t xa tˈse f
הַ רְ חֵ ק	ha rˈ xe k
נ פי ץ	n aˈfi ts
לְ זַ קֵ ק	le zaˈ ke k
סֶ קֶ ר	ˈse ke r
ל ז ר ו ק	l izˈ r o k
ר י מו ן	r iˈ mo n
לְ הִ תְי יַ שֵׁ ן	le h itj aˈ ʃe n
כ ב י ש	kˈ v i ʃ
ח ש ך	xa ˈʃe x
ל ק ש ר	le kaˈ ʃe r
כָּ ךְ	ˈka x
לְ בַ טֵּא	le vaˈ te
לְ הִ ית ָּ ל וֹת	le h it aˈ l ot
הַלְ בָּ שָׁ ה	hal baˈ ʃ a
מַ סְ גֵּ ר	ma sˈ ge r
אִי לּ וּ ץ	iˈ l u ts
לִ זְ נ וֹ חַ	li zˈ n o ax
בַּ מְ בּ וּ ק	ba mˈ b u k
קַ רְ קֵ פֵ ת	ka rˈ ke fe t
ל כ ת	le ˈxe t
ס וו דר	sˈ ve der
מ נ ז ר	mi n ˈza r
בד יח ה	bd iˈx a
מְ כִ י רַה	me x iˈ ra
תּ ְ עִי יָּ ה	t e ʔiˈ j a
לְ הִ יס ָּ מֵ ךְ	le h is aˈ me x
י ו ה ר ה	j u h a ˈra
ל ה צ ל	le h atˈse l
ל הת א ר ח	le hitʔ aˈ re ax
נ וֹ צַה	n o tˈsa
מו ד ע	muˈ d a
כּ ְ אִי לּ וּ	k eˈ ʔi l u
מִ סְ פַּ ר	mi sˈ pa r
לָ שֵׂ א ת	laˈ s e t
מְ מ וּ גָּ ז	me m uˈ ga z
ל הת ר ג ש	le hit raˈ ge ʃ
לְ הִ ת ְקַ בֵּ ץ	le hi t kaˈ be ts
כַּ נֶּ נֶ ת	kaˈ ne ne t
מַע ֲ צָ מָ ה	maʔ a tsaˈ m a
לִ פְ עוֹ ת	li fˈ ʔo t
ל ה נ כי ח	le h anˈ xi ax
בַּ ייְ שָׁ ן	ba jˈ ʃa n
חֵ רֶ ם	ˈxe re m
לֵ קֵ ט	ˈle ke t
לְ ה וֹ רִי שׁ	le h oˈ ri ʃ
מַ בּ וּ ל	maˈ b u l
ל הת נ פ ץ	le hit na ˈpe ts
חַ ת וּ לִי	xa t uˈ li
ל התי ית ם	le hitj aˈte m
לִי עוֹ ף	liˈ ʔo f
הֶ יצּ ֵ עַ	he tˈs e a
מְ רִי בָ ה	me riˈ v a
ל ה ידי י ן	le hi daˈj e n
לְ שַׁ חֵ ת	le ʃaˈ xe t
מִ נְ עָ ד	mi nˈ ʔa d
ל מ ר וד	l imˈ r od
ל ה ס פי ד	le h asˈ pi d
אָ ח וּ	ˈa x u
מַע ֲצ ָ ר	maʔ atˈs a r
גַ א וֹן	gaˈ ʔ on
בַּ צ ֵ ק	ba tˈs e k
לְ הִ תְ אָ רֵ ס	le hi tʔ aˈ re s
ל הת מ ר ח	le hit ma ˈre ax
לְ עַ צְ בֵּ ב	le ʔa tsˈ be v
לְ חַ טּ ֵ ט	le xa ˈt e t
כַּ פִ י ף	kaˈ f i f
קַ בְּ לָ ן	ka bˈ la n
ל ח ב וש	la xˈ b oʃ
לִ שְׁ ל וֹ ל	li ʃˈ l o l
ל ג ד ף	le g aˈde f
זי ע ה	zeˈ ʔ a
מְ ע וּ נַ ן	me ʔ uˈ na n
ל הת א וו ר ר	le hitʔ a vˈ re r
חַ מַה	xaˈ ma
לֵא ֵ ר וֹ ז	leʔ eˈ r o z
ל פר ו ת	l ifˈr o t
ח ץ	ˈxe ts
לְ הַ צִי ל	le ha tˈsi l
הַ נְ שַׁ מַה	ha n ʃaˈ ma
לְ הִ י כָּ לֵא	le h i kaˈ le
לַ כ וּ ד	laˈ x u d
דַ ח וּ י	daˈ x u j
נִ פְ סַ ד	ni fˈ sa d
ל ה יש ט ף	le hi ʃaˈ te f
הַ פְ רַ יַה	ha f raˈ ja
אַ חֲ רִי ת	a xaˈ ri t
מַ סְ ל וּ ל	ma sˈ l u l
לְ הַ זְ רִי עַ	le ha zˈ ri a
סְ ט וּ דֶ נְ ט	s t uˈ de n t
זי ג ו ג	ziˈ g u g
כ ר וכ ית	k r uˈx it
לְ פַ גֵ ר	le faˈ ge r
לְ הִ תְפַּ לְ סֵ ף	le h itpa lˈ se f
ל מ ק ס ס	le ma kˈ se s
מְ א וֹ הַ ב	me ʔ oˈ ha v
לְ הִ תְ נַ ווּ ֵ ן	le h it na ˈv e n
ל ה פ ק י ע	le h afˈ k i a
ל ת ל וש	l itˈ l oʃ
א ֲדִ יק וּת	a d iˈk ut
לִ שְׁ כַּ ב	li ʃˈ ka v
קָ צ וּ ב	ka tˈs u v
לֵ ב וֹ שׁ	leˈ v o ʃ
ל הת פ ל ל	le hit pa ˈle l
מַ חְ ס וֹר	ma xˈ s or
מְ ב וּ אָ ס	me v uˈ ʔa s
